,magnet,createdAtNs,initialTime,time
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
x,"[-35.88, 77.04]",8274324561851,10811745345305,-2537.420783454
y,"[-62.52, -31.619999]",8274324561851,10811745345305,-2537.420783454
z,"[77.04, -111.24]",8274324561851,10811745345305,-2537.420783454
